uo;tipo_siafi;no_siafi;ano_exercicio_receita;codigo_classificacao_receita;tipo_de_receita;fonte;receita_arrecadada_r;classificacao_receita;registro_receita;data_da_arrecadacao
2271;Convênio;9292811;2026;1321.01.0.1.01.000;Rendimento;68;691,49;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;Arrecadado;28/03/2026
2271;Convênio;9345896;2026;1321.01.0.1.01.000;Rendimento;68;450,12;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;Arrecadado;28/03/2026
2271;Convênio;9433653;2026;1321.01.0.1.01.000;Rendimento;68;872,06;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;Arrecadado;28/03/2026
2271;Convênio;9433653;2026;1741.50.0.1.99.000;Receita Corrente;68;7.897,85;SUS-SAUDE - OUTROS;Arrecadado;28/03/2026
1251;Convênio;9293675;2026;1717.99.0.1.20.002;Receita Corrente;24;6.000,00;SEGURANCA PUBLICA - CENTRAIS DE ABASTECIMENTO DE MINAS GERAIS - CEASAMINAS;Arrecadado;27/03/2026
1251;Convênio;9313581;2026;1321.01.0.1.01.000;Rendimento;70;0,01;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;Arrecadado;27/03/2026
1251;Convênio;9317262;2026;1724.99.0.1.23.001;Receita Corrente;69;1.193.077,17;SEGURANCA PUBLICA - COMPANHIA DE SANEAMENTO DE MINAS GERAIS - COPASA;Arrecadado;27/03/2026
1251;Convênio;9459050;2026;2432.99.0.1.22.001;Receita de Capital;70;16.998,54;SEGURANCA PUBLICA - DIVERSOS MUNICIPIOS;Arrecadado;27/03/2026
1371;Acordo/Ajuste;9436627;2026;1321.01.0.1.01.000;Rendimento;9;39.449,51;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;Arrecadado;27/03/2026
1401;Convênio;9474871;2026;1732.99.0.1.23.001;Receita Corrente;70;65.000,00;SEGURANCA PUBLICA - DIVERSOS MUNICIPIOS;Arrecadado;27/03/2026
1401;Acordo/Ajuste;9497328;2026;1321.01.0.1.01.000;Rendimento;9;5.700,12;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;Arrecadado;27/03/2026
1451;Convênio;9451424;2026;1321.01.0.1.01.000;Rendimento;70;115,99;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;Arrecadado;27/03/2026
1451;Convênio;9451424;2026;2432.99.0.1.22.001;Receita de Capital;70;45.020,00;SEGURANCA PUBLICA - DIVERSOS MUNICIPIOS;Arrecadado;27/03/2026
1511;Acordo/Ajuste;9490313;2026;1741.99.0.1.50.999;Receita Corrente;9;20.192,51;SEGURANCA PUBLICA - OUTROS;Arrecadado;27/03/2026
2311;Convênio;9492881;2026;1732.50.0.1.01.000;Receita Corrente;70;202.500,00;SUS-SAUDE - DIVERSOS MUNICIPIOS;Arrecadado;27/03/2026
2351;Convênio;9478834;2026;1732.51.0.1.01.000;Receita Corrente;70;160.000,00;EDUCACAO - DIVERSOS MUNICIPIOS;Arrecadado;27/03/2026
1251;Convênio;9280770;2026;1321.01.0.1.01.000;Rendimento;70;147,02;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;Arrecadado;26/03/2026
1251;Convênio;9286435;2026;1321.01.0.1.01.000;Rendimento;70;109,47;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;Arrecadado;26/03/2026
1251;Convênio;9313581;2026;1321.01.0.1.01.000;Rendimento;70;2,61;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;Arrecadado;26/03/2026
1251;Convênio;9331772;2026;1321.01.0.1.01.000;Rendimento;70;42,29;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;Arrecadado;26/03/2026
1251;Convênio;9447778;2026;1321.01.0.1.01.000;Rendimento;70;26,58;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;Arrecadado;26/03/2026
1401;Convênio;9276279;2026;1321.01.0.1.01.000;Rendimento;70;1.055,13;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;Arrecadado;26/03/2026
1401;Convênio;9286434;2026;1321.01.0.1.01.000;Rendimento;70;5,25;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;Arrecadado;26/03/2026
1401;Convênio;9327388;2026;1321.01.0.1.01.000;Rendimento;70;321,55;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;Arrecadado;26/03/2026
1401;Convênio;9337559;2026;1321.01.0.1.01.000;Rendimento;70;120,57;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;Arrecadado;26/03/2026
1401;Convênio;9368834;2026;1321.01.0.1.01.000;Rendimento;10;355,52;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;Arrecadado;26/03/2026
1401;Convênio;9368834;2026;1321.01.0.1.01.000;Rendimento;2;11.495,27;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;Arrecadado;26/03/2026
1401;Convênio;9401388;2026;1321.01.0.1.01.000;Rendimento;10;331,28;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;Arrecadado;26/03/2026
1401;Convênio;9401388;2026;1321.01.0.1.01.000;Rendimento;2;6.294,38;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;Arrecadado;26/03/2026
1401;Convênio;9408101;2026;1321.01.0.1.01.000;Rendimento;70;35,11;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;Arrecadado;26/03/2026
1401;Convênio;9408849;2026;1321.01.0.1.01.000;Rendimento;70;99,63;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;Arrecadado;26/03/2026
1401;Convênio;9428456;2026;1321.01.0.1.01.000;Rendimento;70;413,66;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;Arrecadado;26/03/2026
1401;Convênio;9430577;2026;1321.01.0.1.01.000;Rendimento;70;824,21;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;Arrecadado;26/03/2026
1401;Convênio;9434255;2026;1321.01.0.1.01.000;Rendimento;70;192,31;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;Arrecadado;26/03/2026
1401;Convênio;9440535;2026;1321.01.0.1.01.000;Rendimento;24;8.366,49;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;Arrecadado;26/03/2026
1401;Convênio;9445629;2026;1321.01.0.1.01.000;Rendimento;70;351,00;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;Arrecadado;26/03/2026
1401;Convênio;9447306;2026;1321.01.0.1.01.000;Rendimento;70;16,55;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;Arrecadado;26/03/2026
1401;Convênio;9447469;2026;1321.01.0.1.01.000;Rendimento;70;80,87;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;Arrecadado;26/03/2026
1401;Convênio;9447747;2026;1321.01.0.1.01.000;Rendimento;10;261,12;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;Arrecadado;26/03/2026
